drugid	name	pharmgkbid	rxnormid	drugbankid	atcid	umlscui	flowchart	version	guidelineid
RxNorm:36453	sevoflurane	PA451341	36453	DB01236	{N01AB08}	\N	https://files.cpicpgx.org/images/flow_chart/Sevoflurane_CDS_Flow_Chart.jpg	322	100427
RxNorm:641	amikacin	PA164744372	641	DB00479	{D06AX12,J01GB06,S01AA21}	\N	\N	222	826283
ATC:M05BA	Bisphosphonates	PA164712563	\N	\N	{M05BA}	\N	\N	106	\N
RxNorm:6026	isoflurane	PA450106	6026	DB00753	{N01AB06}	\N	https://files.cpicpgx.org/images/flow_chart/Isoflurane_CDS_Flow_Chart.jpg	324	100427
RxNorm:704	amitriptyline	PA448385	704	DB00321	{N06AA09,N06CA01}	\N	https://files.cpicpgx.org/images/flow_chart/Amitriptyline_CDS_Flow_Chart.jpg	324	100414
RxNorm:38400	atomoxetine	PA134688071	38400	DB00289	{N06BA09}	\N	https://files.cpicpgx.org/images/flow_chart/Atomoxetine_CDS_Flow_Chart.jpg	245	104243
RxNorm:194000	capecitabine	PA448771	194000	DB01101	{L01BC06}	\N	https://files.cpicpgx.org/images/flow_chart/Capecitabine_CDS_Flow_Chart.jpg	245	100419
RxNorm:6099	kanamycin	PA450137	6099	DB01172	{A07AA08,J01GB04,S01AA24}	\N	\N	222	826283
RxNorm:2002	carbamazepine	PA448785	2002	DB00564	{N03AF01}	\N	https://files.cpicpgx.org/images/flow_chart/Carbamazepine_CDS_Flow_Chart.jpg	324	100423
RxNorm:1731031	lesinurad	PA166160006	1731031	\N	\N	\N	\N	106	\N
RxNorm:20890	lornoxicam	PA165958395	20890	DB06725	{M01AC05}	\N	https://files.cpicpgx.org/images/flow_chart/Lornoxicam_CDS_Flow_Chart.jpg	245	110058
RxNorm:41493	meloxicam	PA450353	41493	DB00814	{M01AC06}	\N	https://files.cpicpgx.org/images/flow_chart/Meloxicam_CDS_Flow_Chart.jpg	245	110058
RxNorm:154	acenocoumarol	PA452632	154	DB01418	{B01AA07}	\N	\N	106	\N
RxNorm:3108	dapsone	PA449211	3108	DB00250	{D10AX05,J04BA02}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_High_Risk_Drug_CDS_Flow_Chart.jpg	215	2405438
RxNorm:4492	fluorouracil	PA128406956	4492	DB00544	{L01BC02,L01BC52}	\N	https://files.cpicpgx.org/images/flow_chart/5-Fluorouracil_CDS_Flow_Chart.jpg	245	100419
RxNorm:103	mercaptopurine	PA450379	103	DB01033	{L01BB02}	\N	https://files.cpicpgx.org/images/flow_chart/6-Mercaptopurine_CDS_Flow_Chart.jpg	322	100428
RxNorm:6878	methylene blue	PA450457	6878	NA	{NA}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_High_Risk_Drug_CDS_Flow_Chart.jpg	215	2405438
RxNorm:8687	primaquine	PA451103	8687	DB01087	{P01BA03}	\N	https://files.cpicpgx.org/images/flow_chart/Primaquine_CDS_Flow_Chart.jpg	215	2405438
RxNorm:283821	rasburicase	PA10176	283821	DB00049	{M04AX01,V03AF07}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_High_Risk_Drug_CDS_Flow_Chart.jpg	245	2405438
RxNorm:72236	fosphenytoin	PA164746820	72236	DB01320	{N03AB05}	\N	https://files.cpicpgx.org/images/flow_chart/Fosphenytoin_CDS_Flow_Chart.jpg	324	100412
RxNorm:9344	ribavirin	PA451241	9344	DB00811	{J05AB04}	\N	\N	242	100424
RxNorm:19831	budesonide	PA448681	19831	DB01222	{A07EA06,D07AC09,R01AD05,R03BA02}	\N	\N	106	\N
ATC:D06AX07	gentamicin	PA449753	1596450	DB00798	{D06AX07,J01GB03,S01AA11,S02AA14,S03AA06}	\N	\N	222	826283
RxNorm:2020	carbimazole	PA164742970	2020	DB00389	{H03BB01}	\N	\N	106	\N
RxNorm:190521	abacavir	PA448004	190521	DB01048	{J05AF06,J05AR02,J05AR13,J05AR04}	\N	https://files.cpicpgx.org/images/flow_chart/Abacavir_CDS_Flow_Chart.jpg	245	100421
RxNorm:519	allopurinol	PA448320	519	DB00437	{M04AA01,M04AA51}	\N	https://files.cpicpgx.org/images/flow_chart/Allopurinol_CDS_Flow_Chart.jpg	245	100422
RxNorm:711942	eltrombopag	PA165981594	711942	\N	{B02BX}	\N	\N	106	\N
RxNorm:10627	tobramycin	PA451704	10627	DB00684	{J01GB01,S01AA12}	\N	\N	222	826283
RxNorm:10638	toluidine blue	PA166268821	10638	NA	{NA}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_High_Risk_Drug_CDS_Flow_Chart.jpg	167	2405438
RxNorm:27392	tropisetron	PA161925594	27392	DB11699	{A04AA03}	\N	https://files.cpicpgx.org/images/flow_chart/Tropisetron_CDS_Flow_Chart.jpg	244	100417
RxNorm:480	alfentanil	PA448084	480	DB00802	{N01AH02}	\N	\N	299	100416
RxNorm:7833	aminosalicylic acid	PA448382	7833	DB00233	{J04AA01}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	167	2405438
RxNorm:1191	aspirin	PA448497	1191	DB00945	{A01AD05,B01AC06,B01AC56,C10BX01,C10BX02,C10BX04,C10BX05,C10BX06,C10BX08,M01BA03,N02BA01,N02BA51,N02BA71}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	352	2405438
RxNorm:10109	streptomycin	PA451512	10109	DB01082	{A07AA04,J01GA01}	\N	\N	222	826283
RxNorm:11289	warfarin	PA451906	11289	DB00682	{B01AA03}	\N	\N	398	100425
RxNorm:10154	succinylcholine	PA451522	10154	DB00202	{M03AB01}	\N	https://files.cpicpgx.org/images/flow_chart/Succinylcholine_CDS_Flow_Chart.jpg	322	100427
RxNorm:42316	tacrolimus	PA451578	42316	DB00864	{D11AH01,L04AD02}	\N	https://files.cpicpgx.org/images/flow_chart/Tacrolimus_CDS_Flow_Chart.jpg	244	100418
RxNorm:40048	carboplatin	PA448803	40048	DB00958	{L01XA02}	\N	\N	106	\N
