installed_rank	version	description	type	script	checksum	installed_by	installed_on	execution_time	success
1	1	Initial bootstrap	SQL	V1__Initial_bootstrap.sql	1343833882	cpic	2020-09-30 21:02:41.398674	17646	t
2	2	initial data	SQL	V2__initial_data.sql	1569953039	cpic	2020-09-30 21:03:00.181244	1464	t
3	3	views	SQL	V3__views.sql	1637573145	cpic	2020-09-30 21:03:02.68466	2906	t
4	4	flow charts	SQL	V4__flow_charts.sql	-461764197	cpic	2020-09-30 21:03:06.637242	3674	t
5	6	nsaid release	SQL	V6__nsaid_release.sql	1899796322	cpic	2020-09-30 21:03:11.349979	2479	t
6	7	nsaid pair data	SQL	V7__nsaid_pair_data.sql	-1759040576	cpic	2020-09-30 21:03:14.862537	1507	t
7	8	data progress view	SQL	V8__data_progress_view.sql	-583739949	cpic	2020-09-30 21:03:17.405314	325	t
8	9	file view	SQL	V9__file_view.sql	-435728782	cpic	2020-09-30 21:03:18.784115	320	t
9	10	pair data update	SQL	V10__pair_data_update.sql	1561416759	cpic	2020-09-30 21:03:20.133162	720	t
10	11	guideline in drug model	SQL	V11__guideline_in_drug_model.sql	1721141764	cpic	2020-09-30 21:03:21.898691	476	t
11	12	pair data update	SQL	V12__pair_data_update.sql	-1970090295	cpic	2020-09-30 21:03:23.402028	233	t
12	13	add publications	SQL	V13__add_publications.sql	1291951866	cpic	2020-09-30 21:03:24.679997	320	t
13	14	add highlighted publications	SQL	V14__add_highlighted_publications.sql	759335679	cpic	2020-09-30 21:03:26.044179	399	t
14	15	pair data update	SQL	V15__pair_data_update.sql	81113836	cpic	2020-09-30 21:03:27.481903	243	t
15	16	update ibuprofen ATC	SQL	V16__update_ibuprofen_ATC.sql	1407599949	cpic	2020-09-30 21:03:28.777477	243	t
16	18	allele status lookup	SQL	V18__allele_status_lookup.sql	-859499970	cpic	2020-09-30 21:03:30.070317	482	t
17	19	new publication	SQL	V19__new_publication.sql	-1342471317	cpic	2020-09-30 21:03:31.581321	315	t
18	20	update sequence IDs	SQL	V20__update_sequence_IDs.sql	-75396910	cpic	2020-09-30 21:03:32.939966	480	t
19	21	recommendation lookup fn	SQL	V21__recommendation_lookup_fn.sql	-1422255981	cpic	2020-09-30 21:03:34.466215	478	t
20	22	ppi release	SQL	V22__ppi_release.sql	-1608844545	cpic	2020-09-30 21:03:35.973984	885	t
21	23	helpful views	SQL	V23__helpful_views.sql	1737227498	cpic	2020-09-30 21:03:37.894656	1362	t
22	24	new drug flowcharts	SQL	V24__new_drug_flowcharts.sql	426101726	cpic	2020-09-30 21:03:40.286768	888	t
23	25	phenytoin guideline update	SQL	V25__phenytoin_guideline_update.sql	-746232628	cpic	2020-09-30 21:03:42.235826	481	t
24	26	validate pair pmids	SQL	V26__validate_pair_pmids.sql	-1806818774	cpic	2020-09-30 21:03:43.755407	240	t
25	27	reference allele	SQL	V27__reference_allele.sql	849245471	cpic	2020-09-30 21:03:45.03582	1701	t
26	\N	apply permissions	SQL	R__apply_permissions.sql	-1445996752	cpic	2020-09-30 21:03:47.781042	1352	t
27	28	more allele frequency	SQL	V28__more_allele_frequency.sql	805701621	cpic	2020-10-06 04:45:31.882019	65	t
28	29	gene notes on diplotype	SQL	V29__gene_notes_on_diplotype.sql	-32272162	cpic	2020-10-06 04:45:31.979835	39	t
29	30	fix diplotype note column name	SQL	V30__fix_diplotype_note_column_name.sql	-1780194441	cpic	2020-10-06 20:33:55.825135	12	t
30	31	structural variant alleles	SQL	V31__structural_variant_alleles.sql	907385290	cpic	2020-10-21 16:33:11.171586	21	t
31	32	more notes	SQL	V32__more_notes.sql	946380705	cpic	2020-10-26 04:13:26.606463	33	t
32	33	remove allele frequency	SQL	V33__remove_allele_frequency.sql	370457724	cpic	2020-10-29 02:34:55.945477	28	t
33	34	add constraints to publication	SQL	V34__add_constraints_to_publication.sql	1822736403	cpic	2020-12-07 19:33:55.270759	86	t
34	35	opioid release	SQL	V35__opioid_release.sql	-334675632	cpic	2021-01-08 00:30:17.865038	51	t
35	36	update allele view	SQL	V36__update_allele_view.sql	-926799802	cpic	2021-01-15 23:54:12.278947	96	t
36	37	remove unused column	SQL	V37__remove_unused column.sql	-2122981860	cpic	2021-03-25 17:42:36.558878	134	t
37	38	gene urls	SQL	V38__gene_urls.sql	1563545318	cpic	2021-03-25 17:42:36.742551	62	t
38	\N	apply permissions	SQL	R__apply_permissions.sql	-575065814	cpic	2021-03-25 17:42:36.82488	28	t
39	39	guideline summary view	SQL	V39__guideline_summary_view.sql	480060255	cpic	2021-03-26 20:19:53.149371	58	t
40	\N	apply permissions	SQL	R__apply_permissions.sql	-1861354715	cpic	2021-03-26 20:19:53.225004	31	t
41	40	fix flowchart urls	SQL	V40__fix_flowchart_urls.sql	-1456884835	cpic	2021-05-11 18:22:43.25079	46	t
43	42	aminoglycosides guideline	SQL	V42__aminoglycosides_guideline.sql	540949488	cpic	2021-06-14 04:40:37.690857	93	t
44	43	seq loc unique key	SQL	V43__seq_loc_unique_key.sql	-1638696174	cpic	2021-06-14 04:40:37.808891	52	t
45	44	functionmethods	SQL	V44__functionmethods.sql	2079604482	cpic	2021-06-29 15:43:53.422219	16	t
46	45	sequence location position	SQL	V45__sequence_location_position.sql	1314277241	cpic	2021-07-09 21:30:29.833003	102	t
47	46	fix dbsnpid column	SQL	V46__fix_dbsnpid_column.sql	-1850897598	cpic	2021-08-05 17:38:43.759722	21	t
48	47	guideline fns	SQL	V47__guideline_fns.sql	-1198346012	cpic	2021-08-18 22:14:26.14922	30	t
