pairid	genesymbol	drugid	guidelineid	usedforrecommendation	version	cpiclevel	pgkbcalevel	pgxtesting	citations	removed	removeddate	removedreason
110081	CYP2D6	RxNorm:704	100414	t	80	A	1A	Actionable PGx	{23486447,27997040}	f	\N	\N
110082	UGT1A1	RxNorm:343047	100429	t	79	A	1A	\N	{26417955}	f	\N	\N
110083	CYP2D6	RxNorm:38400	104243	t	79	A	1A	Actionable PGx	{30801677}	f	\N	\N
110088	HLA-B	RxNorm:2002	100423	t	81	A	1A	Testing Required	{23695185,29392710}	f	\N	\N
110089	CYP2C9	RxNorm:140587	110058	t	79	A	1A	Actionable PGx	{32189324}	f	\N	\N
110090	CYP2C19	RxNorm:2556	100413	t	79	A	1A	Actionable PGx	{25974703,37032427}	f	\N	\N
110103	CACNA1S	RxNorm:5095	100427	t	79	A	1A	\N	{30499100}	f	\N	\N
110117	CYP2D6	RxNorm:7531	100414	t	79	A	1A	Actionable PGx	{23486447,27997040}	f	\N	\N
110143	NUDT15	RxNorm:10485	100428	t	80	A	3	Testing Recommended	{21270794,23422873,30447069}	f	\N	\N
110180	CYP2C19	RxNorm:2597	100414	t	78	B	1A	\N	{23486447,27997040}	f	\N	\N
110252	CYP2D6	RxNorm:1876905	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
110295	CYP2D6	RxNorm:77492	\N	f	78	B/C	\N	Actionable PGx	\N	f	\N	\N
2452901	G6PD	RxNorm:7833	2405438	t	50	C	\N	\N	{36049896}	f	\N	\N
110247	SLC6A4	RxNorm:2556	100413	f	80	C	4	\N	{37032427}	f	\N	\N
110333	CYP2C19	RxNorm:283742	110076	f	78	C	3	Actionable PGx	{32770672}	f	\N	\N
110061	CYP2C8	RxNorm:5640	110058	f	81	C	3	\N	{32189324}	f	\N	\N
418197	CYP2D6	RxNorm:6813	100416	f	68	C	3	\N	{33387367}	f	\N	\N
110206	G6PD	RxNorm:7517	2405438	t	79	C	\N	Actionable PGx	{36049896}	f	\N	\N
110392	COMT	ATC:N06AB	\N	f	77	C	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
3122379	HTR2A	RxNorm:36437	100413	f	39	C	4	\N	{37032427}	f	\N	\N
110219	G6PD	RxNorm:10171	2405438	t	79	C	\N	Actionable PGx	{36049896}	f	\N	\N
110414	CYP2A7P1	RxNorm:53654	\N	f	77	C/D	\N	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110442	FDPS	ATC:M05BA	\N	f	77	D	3	\N	\N	t	2020-09-14	Cleanup by Kelly Caudle
110452	EGF	RxNorm:318341	\N	f	78	D	3	\N	\N	f	\N	\N
