id	publicationid	ethnicity	population	populationinfo	subjecttype	subjectcount	version
7584073	\N	African American/Afro-Caribbean	African American	https://uswest.ensembl.org/Homo_sapiens/Variation/Population?r=4:88130671-88131671;v=rs2231142;vdb=variation;vf=91592418#population_freq_AFR	1000 Genomes phase 3 ASW population	61	1
7584074	\N	African American/Afro-Caribbean	Afro-Caribbean	https://uswest.ensembl.org/Homo_sapiens/Variation/Population?r=4:88130671-88131671;v=rs2231142;vdb=variation;vf=91592418#population_freq_AFR	1000 Genomes phase 3 ASW population	96	1
7584075	1552823	American	American Indian	from Oklahoma center	\N	850	1
7584076	\N	Central/South Asian	South Asian	from http://gnomad.broadinstitute.org, accessed 06/15/2021	\N	15305	1
7584077	\N	East Asian	East Asian	from http://gnomad.broadinstitute.org, accessed 06/15/2021	\N	9965	1
7584078	\N	European	Non-Finnish	from http://gnomad.broadinstitute.org, accessed 06/15/2021	\N	64463	1
7584079	\N	Latino	Latino	from http://gnomad.broadinstitute.org, accessed 06/15/2021	\N	17710	1
7584080	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, accessed 06/15/2021	\N	5182	1
7584081	1552830	Oceanian	Maori people controls	\N	\N	212	1
7584082	1552830	Oceanian	Maori people with gout	\N	\N	178	1
7584083	1552830	Oceanian	Pacific Islanders controls	\N	\N	109	1
7584084	1552830	Oceanian	Pacific Islanders with gout	\N	\N	173	1
7584085	\N	Sub-Saharan African	Esan in Nigeria	https://uswest.ensembl.org/Homo_sapiens/Variation/Population?r=4:88130671-88131671;v=rs2231142;vdb=variation;vf=91592418#population_freq_AFR	1000 Genomes phase 3 ASW population	108	1
7584086	\N	Sub-Saharan African	Luhya in Webuye, Kenya	https://uswest.ensembl.org/Homo_sapiens/Variation/Population?r=4:88130671-88131671;v=rs2231142;vdb=variation;vf=91592418#population_freq_AFR	1000 Genomes phase 3 ASW population	99	1
7584087	\N	Sub-Saharan African	Mandinka in the Gambia	https://uswest.ensembl.org/Homo_sapiens/Variation/Population?r=4:88130671-88131671;v=rs2231142;vdb=variation;vf=91592418#population_freq_AFR	1000 Genomes phase 3 ASW population	113	1
7584088	\N	Sub-Saharan African	Mende in Sierra Leone	https://uswest.ensembl.org/Homo_sapiens/Variation/Population?r=4:88130671-88131671;v=rs2231142;vdb=variation;vf=91592418#population_freq_AFR	1000 Genomes phase 3 ASW population	85	1
7584089	\N	Sub-Saharan African	Yoruba in Ibadan, Nigeria	https://uswest.ensembl.org/Homo_sapiens/Variation/Population?r=4:88130671-88131671;v=rs2231142;vdb=variation;vf=91592418#population_freq_AFR	1000 Genomes phase 3 ASW population	108	1
7584090	\N	Central/South Asian	South Asian	from http://gnomad.broadinstitute.org, accessed 10-22-2019	\N	15305	1
7584091	\N	Central/South Asian	South Asian	from http://gnomad.broadinstitute.org, accessed 10-22-2019	\N	15308	1
7584092	\N	East Asian	East Asian	from http://gnomad.broadinstitute.org, accessed 10-22-2019	\N	9197	1
7584093	\N	European	European (non-Finnish)	from http://gnomad.broadinstitute.org, accessed 10-22-2019	\N	56838	1
7584094	\N	European	European (Finnish)	from http://gnomad.broadinstitute.org, accessed 10-22-2019	\N	10820	1
7584095	\N	European	European (non-Finnish)	from http://gnomad.broadinstitute.org, accessed 10-22-2019	\N	56858	1
7584096	\N	European	European (Finnish)	from http://gnomad.broadinstitute.org, accessed 10-22-2019	\N	10824	1
7584097	\N	Latino	Latino	from http://gnomad.broadinstitute.org, accessed 10-22-2019	\N	17293	1
7584098	\N	Latino	Latino	from http://gnomad.broadinstitute.org, accessed 10-22-2019	\N	17296	1
7584099	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, accessed 10-22-2019	\N	5037	1
7584100	\N	Near Eastern	Ashkenazi Jewish	from http://gnomad.broadinstitute.org, accessed 10-22-2019	\N	5039	1
7584101	116362	African American/Afro-Caribbean	African-American	1000 Genomes	random blood donor	85	1
7584102	116362	African American/Afro-Caribbean	African Ancestry from southwest USA	1000 Genomes	random blood donor	24	1
7584103	116365	African American/Afro-Caribbean	African, African American	AIDS Clinical Trial Group protocols 384, A5095, A5097	\N	282	1
7584104	116367	African American/Afro-Caribbean	African-American	\N	\N	70	1
7584105	116369	African American/Afro-Caribbean	African Colombian	\N	\N	27	1
7584106	\N	African American/Afro-Caribbean	African-American	ASW	1000 genomes	61	1
7584107	113537	Central/South Asian	Gujarati Indian from Houston, Texas	GIH	1000 Genomes	103	1
7584108	113537	Central/South Asian	Punjabi from Lahore, Pakistan	PJL	1000 Genomes	96	1
7584109	113537	Central/South Asian	Bengali from Bangladesh	BEB	1000 Genomes	86	1
7584110	113537	Central/South Asian	Sri Lankan Tamil from the UK	STU	1000 Genomes	102	1
7584111	113537	Central/South Asian	Indian Telugu from the UK	ITU	1000 Genomes	102	1
7584112	116377	Central/South Asian	south asia	\N	gnomAD exomes	11485	1
7584113	116379	Central/South Asian	Indians	\N	\N	63	1
7584114	113537	East Asian	Han Chinese in Bejing, China	CHB	1000 Genomes	103	1
7584115	113537	East Asian	Japanese in Tokyo, Japan	JPT	1000 Genomes	104	1
7584116	113537	East Asian	Southern Han Chinese	CHS	1000 Genomes	105	1
7584117	113537	East Asian	Chinese Dai in Xishuangbanna, China	CDX	1000 Genomes	93	1
