id	publicationid	description	url	version
726028	110016	\N	https://files.cpicpgx.org/data/guideline/publication/warfarin/2011/IWPC_dose_calculator.xls	1
725969	571448	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/NSAID/2020/32189324-supplement.pdf	2
725970	571447	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/PPI/2020/32770672-supplement.pdf	2
725971	110006	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/SSRI/2015/25974703-supplement.pdf	2
725980	110011	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/TCA/2013/23486447-supplement.pdf	2
725981	110004	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/TCA/2016/27997040-supplement.pdf	2
725984	110014	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/abacavir/2012/22378157-supplement.pdf	2
725985	110015	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/abacavir/2014/24561393-supplement.pdf	2
725986	110027	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/allopurinol/2013/23232549-supplement.pdf	2
725987	110018	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/allopurinol/2015/26094938-supplement.pdf	2
725989	110008	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/atazanavir/2015/26417955-supplement.pdf	2
725990	110035	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/atomoxetine/2019/30801677-supplement.pdf	2
725991	110009	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/carbamazepine/2013/23695185-supplement.pdf	2
725992	110034	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/carbamazepine/2017/29392710-supplement.pdf	2
725993	110005	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/clopidogrel/2011/21716271-supplement.pdf	2
725994	110028	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/clopidogrel/2013/23698643-supplement.pdf	2
725997	110031	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/codeine/2012/22205192-supplement.pdf	2
726000	110033	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/codeine/2014/24458010-supplement.pdf	2
726001	110036	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/efavirenz/2019/31006110-supplement.pdf	2
726002	110019	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/fluoropyrimidines/2013/23988873-supplement.pdf	2
726003	110029	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/fluoropyrimidines/2017/29152729-supplement.pdf	2
726004	110023	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/ivacaftor/2014/24598717-supplement.pdf	2
726005	110013	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/ondansetron/2016/28002639-supplement.pdf	2
726007	417705	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/opioids/2020/33387367-supplement.pdf	2
726008	110007	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/pegintron/2013/24096968-supplement.pdf	2
726011	110003	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/phenytoin/2014/25099164-supplement.pdf	2
726012	110077	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/phenytoin/2020/32779747-supplement.pdf	2
726013	110000	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/rasburicase/2014/24787449-supplement.pdf	2
726014	110021	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/simvastatin/2012/22617227-supplement.pdf	2
726015	110022	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/simvastatin/2014/24918167-supplement.pdf	2
726019	110002	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/tacrolimus/2015/25801146-supplement.pdf	2
726020	110010	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/tamoxifen/2017/29385237-supplement.pdf	2
726021	110017	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/thiopurines/2011/21270794-supplement.pdf	2
726022	110024	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/thiopurines/2013/23422873-supplement.pdf	2
726023	110026	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/thiopurines/2018/30447069-supplement.pdf	2
726024	110032	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/volatile_anesthetic_succinylcholine/2018/30499100-supplement.pdf	2
726025	110001	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/voriconazole/2016/27981572-supplement.pdf	2
726027	110016	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/warfarin/2011/21900891-supplement.pdf	2
726029	110030	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/warfarin/2017/28198005-supplement.pdf	2
876862	876861	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/aminoglycosides/2021/34032273-supplement.pdf	1
1608552	1608551	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/clopidogrel/2022/35034351-supplement.pdf	1
1608553	1508721	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/statins/2022/supplement.pdf	1
2510457	2510456	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/G6PD/2022/36049896-supplement.pdf	1
3070388	3070387	Supplement to publication	https://files.cpicpgx.org/data/guideline/publication/serotonin_reuptake_inhibitor_antidepressants/2023/37032427-supplement.pdf	1
5407446	5407445	\N	https://files.cpicpgx.org/data/guideline/publication/methadone/2024/38863207-supplement.pdf	1
