     1→     1→3,4-methylenedioxymethamphetamine
     2→     2→abacavir
     3→     3→abiraterone
     4→     4→abt-751
     5→     5→acamprosate
     6→     6→ace inhibitors, plain
     7→     7→acenocoumarol
     8→     8→acetaldehyde
     9→     9→acetaminophen
    10→    10→acetazolamide
    11→    11→acetylcholine
    12→    12→acetylcysteine
    13→    13→adalimumab
    14→    14→adefovir dipivoxil
    15→    15→adrenergics, inhalants
    16→    16→agomelatine
    17→    17→alemtuzumab
    18→    18→alendronate
    19→    19→alfentanil
    20→    20→alkylating agents
    21→    21→allopurinol
    22→    22→alprazolam
    23→    23→amantadine
    24→    24→amikacin
    25→    25→amiloride
    26→    26→aminoglycoside antibacterials
    27→    27→amiodarone
    28→    28→amisulpride
    29→    29→amitriptyline
    30→    30→amlodipine
    31→    31→amodiaquine
    32→    32→amoxicillin
    33→    33→amphetamine
    34→    34→amprenavir
    35→    35→analgesics
    36→    36→anastrozole
    37→    37→angiotensin ii
    38→    38→angiotensin ii antagonists
    39→    39→anthracyclines and related substances
    40→    40→antibiotics
    41→    41→anticholinergics
    42→    42→antidepressants
    43→    43→antiepileptics
    44→    44→antihypertensives
    45→    45→antihypertensives and diuretics in combination
    46→    46→antiinflammatory agents, non-steroids
    47→    47→antineoplastic agents
    48→    48→antipsychotics
    49→    49→antithymocyte globulin
    50→    50→antithyroid preparations
    51→    51→antivirals for treatment of hiv infections, combinations
    52→    52→apixaban
    53→    53→aripiprazole
    54→    54→artemether
    55→    55→artesunate
    56→    56→asparaginase
    57→    57→aspirin
    58→    58→ataluren
    59→    59→atazanavir
    60→    60→atazanavir / ritonavir
    61→    61→atenolol
    62→    62→atomoxetine
    63→    63→atorvastatin
    64→    64→atrasentan
    65→    65→axitinib
    66→    66→azathioprine
    67→    67→benazepril
    68→    68→benzodiazepine derivatives
    69→    69→berberine
    70→    70→beta blocking agents
    71→    71→beta blocking agents, selective
    72→    72→bevacizumab
    73→    73→bilirubin
    74→    74→bisoprolol
    75→    75→bisphosphonates
    76→    76→bleomycin
    77→    77→boceprevir
    78→    78→bortezomib
    79→    79→botulinum toxin type a
    80→    80→brivaracetam
    81→    81→bromperidol
    82→    82→bucindolol
    83→    83→budesonide
    84→    84→bufuralol
    85→    85→bumetanide
    86→    86→buprenorphine
    87→    87→buprenorphine / naloxone
    88→    88→bupropion
    89→    89→busulfan
    90→    90→butorphanol
    91→    91→caffeine
    92→    92→calcein
    93→    93→calcium
    94→    94→calcium channel blockers
    95→    95→candesartan
    96→    96→cangrelor
    97→    97→cannabinoids
    98→    98→capecitabine
    99→    99→captopril
   100→   100→carbamazepine
   101→   101→carbimazole
   102→   102→carbocisteine
   103→   103→carboplatin
   104→   104→carisoprodol
   105→   105→carvedilol
   106→   106→catecholamines
   107→   107→cavosonstat
   108→   108→cefotaxime
   109→   109→ceftriaxone
   110→   110→celecoxib
   111→   111→cephalexin
   112→   112→cerivastatin
   113→   113→certolizumab pegol
   114→   114→cetuximab
   115→   115→chlorambucil
   116→   116→chloramphenicol
   117→   117→chlorocresol
   118→   118→chloroquine
   119→   119→chlorothiazide
   120→   120→chlorproguanil
   121→   121→chlorpromazine
   122→   122→chlorthalidone
   123→   123→chorionic gonadotropin
   124→   124→cidofovir
   125→   125→cilostazol
   126→   126→ciprofloxacin
   127→   127→cisplatin
   128→   128→citalopram
   129→   129→cladribine
   130→   130→clavulanate
   131→   131→clindamycin
   132→   132→clobazam
   133→   133→clodronate
   134→   134→clomipramine
   135→   135→clonidine
   136→   136→clopidogrel
   137→   137→clozapine
   138→   138→cocaine
   139→   139→codeine
   140→   140→conjugated estrogens
   141→   141→coptisine
   142→   142→corticosteroids
   143→   143→cotinine
   144→   144→cotinine glucuronide
   145→   145→coumarin
   146→   146→creatine
   147→   147→curcumin
   148→   148→cyanocobalamin
   149→   149→cyclophosphamide
   150→   150→cyclosporine
   151→   151→cysteamine
   152→   152→cytarabine
   153→   153→dabigatran
   154→   154→dacarbazine
   155→   155→daclatasvir
   156→   156→dalcetrapib
   157→   157→dapoxetine
   158→   158→dapsone
   159→   159→daptomycin
   160→   160→dasatinib
   161→   161→daunorubicin
   162→   162→debrisoquine
   163→   163→deferasirox
   164→   164→deferiprone
   165→   165→deleobuvir
   166→   166→desflurane
   167→   167→desipramine
   168→   168→desloratadine
   169→   169→desmethylnaproxen
   170→   170→dexamethasone
   171→   171→dexlansoprazole
   172→   172→dexmedetomidine
   173→   173→dexrazoxane
   174→   174→dextroamphetamine
   175→   175→dextromethorphan
   176→   176→dextropropoxyphene
   177→   177→diazepam
   178→   178→diclofenac
   179→   179→dicloxacillin
   180→   180→didanosine
   181→   181→difluorodeoxyuridine
   182→   182→digoxin
   183→   183→dihydrocodeine
   184→   184→dihydroergotamine
   185→   185→dihydropyridine derivatives
   186→   186→dihydrostreptomycin
   187→   187→diltiazem
   188→   188→dimercaprol
   189→   189→dimethyl fumarate
   190→   190→dipeptidyl peptidase 4 (dpp-4) inhibitors
   191→   191→dipyrone
   192→   192→direct acting antivirals
   193→   193→disopyramide
   194→   194→disulfiram
   195→   195→diuretics
   196→   196→dobutamine
   197→   197→docetaxel
   198→   198→dolasetron
   199→   199→dolutegravir
   200→   200→donepezil
   201→   201→dopamine agonists
   202→   202→doxepin
   203→   203→doxorubicin
   204→   204→doxorubicinol
   205→   205→drugs for treatment of tuberculosis
   206→   206→drugs used in alcohol dependence
   207→   207→drugs used in diabetes
   208→   208→drugs used in nicotine dependence
   209→   209→duloxetine
   210→   210→eculizumab
   211→   211→efavirenz
   212→   212→egfr inhibitors
   213→   213→elexacaftor / tezacaftor / ivacaftor
   214→   214→enalapril
   215→   215→endoxifen
   216→   216→enflurane
   217→   217→entacapone
   218→   218→enzymes
   219→   219→ephedrine
   220→   220→epirubicin
   221→   221→erenumab
   222→   222→ergot alkaloids
   223→   223→erlotinib
   224→   224→erythromycin
   225→   225→escitalopram
   226→   226→esomeprazole
   227→   227→estradiol
   228→   228→etanercept
   229→   229→ethambutol
   230→   230→ethanol
   231→   231→ethosuximide
   232→   232→ethylmorphine
   233→   233→etidronic acid
   234→   234→etoposide
   235→   235→etravirine
   236→   236→everolimus
   237→   237→exemestane
   238→   238→exenatide
   239→   239→faldaprevir
   240→   240→farglitazar
   241→   241→febuxostat
   242→   242→fec100
   243→   243→fenofibrate
   244→   244→fentanyl
   245→   245→fesoterodine
   246→   246→fexofenadine
   247→   247→flecainide
   248→   248→flucloxacillin
   249→   249→fludarabine
   250→   250→fluindione
   251→   251→flunisolide
   252→   252→fluorouracil
   253→   253→fluoxetine
   254→   254→flupirtine
   255→   255→flurbiprofen
   256→   256→fluticasone propionate
   257→   257→fluvastatin
   258→   258→fluvoxamine
   259→   259→folfiri
   260→   260→folfirinox
   261→   261→folfox
   262→   262→folic acid
   263→   263→follitropin beta
   264→   264→fremanezumab
   265→   265→furosemide
   266→   266→gabapentin
   267→   267→galantamine
   268→   268→galcanezumab
   269→   269→gefitinib
   270→   270→geldanamycin
   271→   271→gemcitabine
   272→   272→gemtuzumab ozogamicin
   273→   273→gentamicin
   274→   274→glatiramer acetate
   275→   275→gliclazide
   276→   276→glimepiride
   277→   277→glipizide
   278→   278→glucarpidase
   279→   279→glucocorticoids
   280→   280→glyburide
   281→   281→granisetron
   282→   282→haloperidol
   283→   283→halothane
   284→   284→hdl cholesterol
   285→   285→heparin
   286→   286→hepatitis vaccines
   287→   287→heroin
   288→   288→highly active antiretroviral therapy (haart)
   289→   289→hmg coa reductase inhibitors, other combinations
   290→   290→hmg-coa reductase inhibitors
   291→   291→hormonal contraceptives for systemic use
   292→   292→hydralazine
   293→   293→hydralazine / isosorbide dinitrate
   294→   294→hydrochlorothiazide
   295→   295→hydrocodone
   296→   296→hydroxychloroquine
   297→   297→hydroxyurea
   298→   298→ibuprofen
   299→   299→icotinib
   300→   300→idarubicin
   301→   301→iloperidone
   302→   302→imatinib
   303→   303→imidapril
   304→   304→imipramine
   305→   305→imiquimod
   306→   306→indinavir
   307→   307→indomethacin
   308→   308→infliximab
   309→   309→influenza vaccines
   310→   310→insulin recombinant
   311→   311→interferon alfa-2a, recombinant
   312→   312→interferon alfa-2b, recombinant
   313→   313→interferon beta-1a
   314→   314→interferon beta-1b
   315→   315→interferons
   316→   316→irbesartan
   317→   317→irinotecan
   318→   318→isepamicin
   319→   319→isoflurane
   320→   320→isoniazid
   321→   321→isoproterenol
   322→   322→itopride
   323→   323→ivacaftor
   324→   324→ivacaftor / lumacaftor
   325→   325→ivacaftor / tezacaftor
   326→   326→kanamycin
   327→   327→ketamine
   328→   328→ketanserin
   329→   329→ketoprofen
   330→   330→ketorolac
   331→   331→l-methylfolate
   332→   332→l-phenylalanine
   333→   333→l-tryptophan
   334→   334→lamivudine
   335→   335→lamotrigine
   336→   336→lansoprazole
   337→   337→lapatinib
   338→   338→latanoprost
   339→   339→ledipasvir
   340→   340→leflunomide
   341→   341→lenalidomide
   342→   342→letermovir
   343→   343→letrozole
   344→   344→leucovorin
   345→   345→levetiracetam
   346→   346→levodopa
   347→   347→levomethadone
   348→   348→liothyronine
   349→   349→liraglutide
   350→   350→lisinopril
   351→   351→lithium
   352→   352→lonafarnib
   353→   353→lopinavir
   354→   354→lorazepam
   355→   355→lornoxicam
   356→   356→losartan
   357→   357→lovastatin
   358→   358→lovastatin acid
   359→   359→loxoprofen
   360→   360→lumacaftor
   361→   361→lumefantrine
   362→   362→lurasidone
   363→   363→maprotiline
   364→   364→maraviroc
   365→   365→measles vaccines
   366→   366→medroxyprogesterone
   367→   367→mefloquine
   368→   368→meloxicam
   369→   369→melphalan
   370→   370→memantine
   371→   371→menotropins
   372→   372→meperidine
